=== Run information ===

Scheme:       weka.classifiers.lazy.KStar -B 20 -M a
Relation:     training-weka.filters.unsupervised.attribute.Remove-R1-4
Instances:    1456
Attributes:   21
              ndvi_ne
              ndvi_nw
              ndvi_se
              ndvi_sw
              precipitation_amt_mm
              reanalysis_air_temp_k
              reanalysis_avg_temp_k
              reanalysis_dew_point_temp_k
              reanalysis_max_air_temp_k
              reanalysis_min_air_temp_k
              reanalysis_precip_amt_kg_per_m2
              reanalysis_relative_humidity_percent
              reanalysis_sat_precip_amt_mm
              reanalysis_specific_humidity_g_per_kg
              reanalysis_tdtr_k
              station_avg_temp_c
              station_diur_temp_rng_c
              station_max_temp_c
              station_min_temp_c
              station_precip_mm
              total_cases
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

KStar Beta Verion (0.1b).
Copyright (c) 1995-97 by Len Trigg (trigg@cs.waikato.ac.nz).
Java port to Weka by Abdelaziz Mahoui (am14@cs.waikato.ac.nz).

KStar options : -B 20 -M a 

Time taken to build model: 0 seconds

=== Predictions on training set ===

inst#,actual,predicted,error
407,62,62,-0
408,41,41,0
409,50,50,-0
410,34,34,0
411,31,31,-0
412,38,38,0
413,30,30,-0
414,32,32,-0
415,26,26,-0
416,30,30,0
417,36,36,0
418,35,35,0
419,46,46,0
420,48,48,-0
421,44,44,-0
422,51,51,-0
423,59,59,-0
424,71,71,-0
425,102,102,-0
426,128,128,-0
427,127,127,-0
428,150,150,-0
429,191,191,-0
430,256,256,-0
431,329,329,-0
432,263,263,-0
433,220,220,0
434,204,204,-0
435,181,181,-0
436,99,99,0
437,54,54,0
438,80,80,-0
439,102,102,-0
440,127,127,-0
441,73,73,0
442,68,68,-0
443,64,64,-0
444,55,55,0
445,67,67,-0
446,84,84,0
447,85,85,-0
448,67,67,-0
449,73,73,0
450,89,89,-0
451,68,68,-0
452,59,24.675,-34.325
453,56,56,0
454,77,77,-0
455,75,75,-0
456,47,47,-0
457,50,50,0
458,42,42,0
459,28,28,0
460,37,37,-0
461,37,37,-0
462,27,27,-0
463,12,12,0
464,15,15,0
465,22,22,-0
466,8,8,0
467,15,15,0
468,17,17,-0
469,10,10,0
470,9,9,0
471,11,11,0
472,20,20,0
473,13,13,0
474,11,11,0
475,16,16,0
476,11,11,0
477,7,7,0
478,17,17,-0
479,14,14,0
480,13,13,0
481,15,15,0
482,30,30,0
483,25,25,0
484,40,40,0
485,44,44,-0
486,25,25,0
487,21,21,0
488,48,48,0
489,56,56,0
490,60,60,-0
491,45,45,0
492,55,55,0
493,32,32,-0
494,46,46,0
495,61,61,0
496,42,42,-0
497,37,37,-0
498,43,43,-0
499,34,34,0
500,40,40,-0
501,25,25,0
502,16,16,0
503,17,17,0
504,17,17,-0
505,16,16,0
506,23,23,0
507,18,18,0
508,18,18,-0
509,9,9,0
510,7,7,0
511,7,7,0
512,4,4,0
513,3,3,0
514,2,2,0
515,8,8,-0
516,3,3,0
517,1,1,0
518,1,1,0
519,2,2,0
520,3,3,0
521,3,3,0
522,2,2,0
523,0,0,0
524,0,0,0
525,2,2,0
526,2,2,0
527,0,0,0
528,6,6,-0
529,3,3,0
530,6,6,0
531,2,2,0
532,3,3,0
533,2,2,0
534,4,4,0
535,5,5,0
536,2,2,0
537,9,9,0
538,2,2,0
539,4,4,0
540,8,8,0
541,6,6,0
542,3,3,0
543,11,11,0
544,14,14,-0
545,15,15,-0
546,20,20,0
547,9,9,-0
548,20,20,0
549,28,28,-0
550,38,38,-0
551,30,30,-0
552,30,30,-0
553,23,23,0
554,16,16,-0
555,22,22,-0
556,28,28,0
557,14,14,-0
558,17,17,-0
559,20,20,0
560,17,17,-0
561,10,10,0
562,13,13,-0
563,20,20,0
564,9,9,0
565,18,18,-0
566,9,9,0
567,8,8,0
568,19,19,0
569,11,11,-0
570,4,4,0
571,6,6,0
572,6,6,0
573,8,8,0
574,13,13,-0
575,8,8,0
576,8,8,0
577,5,5,0
578,16,16,0
579,12,12,0
580,11,11,0
581,18,18,-0
582,10,10,0
583,22,22,-0
584,14,14,0
585,16,16,0
586,18,18,-0
587,27,27,-0
588,38,38,0
589,35,35,0
590,41,41,0
591,51,51,0
592,65,65,0
593,55,55,-0
594,54,54,-0
595,62,62,-0
596,64,64,-0
597,56,56,0
598,65,65,-0
599,71,71,-0
600,75,75,-0
601,71,71,0
602,72,72,0
603,47,47,0
604,27,27,-0
605,35,35,0
606,25,25,-0
607,19,19,0
608,37,37,-0
609,38,38,0
610,34,34,-0
611,26,26,0
612,19,19,0
613,18,18,0
614,22,22,-0
615,16,16,0
616,18,18,0
617,6,6,0
618,12,12,0
619,6,6,0
620,6,6,0
621,3,3,0
622,7,7,0
623,6,6,0
624,1,1,0
625,3,3,0
626,2,2,0
627,2,2,0
628,1,1,0
629,10,10,0
630,3,3,0
631,3,3,0
632,1,1,0
633,1,1,0
634,2,2,0
635,6,6,0
636,3,3,0
637,3,3,0
638,5,5,0
639,4,4,0
640,7,7,0
641,6,6,0
642,5,5,0
643,7,7,0
644,6,6,0
645,4,4,0
646,4,4,0
647,7,7,0
648,9,9,0
649,5,5,0
650,5,5,0
651,10,10,0
652,6,6,0
653,13,13,0
654,6,6,0
655,5,5,-0
656,5,5,0
657,9,9,-0
658,3,3,0
659,6,6,0
660,11,11,0
661,7,7,0
662,7,7,0
663,15,15,-0
664,9,9,0
665,6,6,0
666,6,6,0
667,6,6,0
668,7,7,0
669,10,10,0
670,8,8,0
671,7,7,0
672,12,12,0
673,3,3,0
674,2,2,0
675,7,7,-0
676,5,5,0
677,5,5,0
678,7,7,0
679,7,7,0
680,7,7,0
681,7,7,0
682,10,10,-0
683,13,13,0
684,10,10,-0
685,14,14,0
686,11,11,-0
687,20,20,0
688,25,25,0
689,17,17,-0
690,18,18,-0
691,25,25,-0
692,21,21,0
693,31,31,-0
694,32,32,0
695,26,26,0
696,35,35,0
697,28,28,-0
698,37,37,0
699,41,41,0
700,34,34,-0
701,30,30,0
702,39,39,-0
703,39,39,0
704,39,39,0
705,34,34,-0
706,30,30,0
707,37,37,-0
708,29,29,0
709,26,26,0
710,15,15,0
711,22,22,-0
712,15,16.999,1.999
713,20,20,0
714,14,14,0
715,10,10,0
716,21,21,0
717,14,14,0
718,14,14,-0
719,9,9,0
720,11,11,0
721,5,5,0
722,6,6,0
723,7,7,0
724,11,11,-0
725,4,4,0
726,3,3,0
727,2,2,0
728,6,6,0
729,10,10,0
730,7,7,0
731,5,5,0
732,3,3,0
733,12,12,-0
734,13,13,0
735,10,10,0
736,13,13,0
737,13,13,0
738,8,8,0
739,21,21,-0
740,18,18,0
741,8,8,0
742,7,7,0
743,20,20,-0
744,14,14,0
745,14,14,0
746,7,7,0
747,14,14,0
748,10,10,0
749,13,13,0
750,27,27,0
751,13,13,-0
752,18,18,0
753,16,16,0
754,16,16,0
755,20,20,0
756,17,17,0
757,4,4,0
758,15,15,0
759,8,8,0
760,6,6,0
761,12,12,-0
762,15,15,0
763,11,11,0
764,10,24.675,14.675
765,15,15,0
766,17,17,0
767,7,7,0
768,7,7,0
769,8,8,0
770,9,9,0
771,12,12,0
772,12,12,-0
773,5,5,0
774,4,4,0
775,11,11,0
776,4,4,0
777,5,5,0
778,7,7,0
779,1,1,0
780,1,1,0
781,4,4,0
782,2,2,0
783,6,6,0
784,3,3,-0
785,4,4,0
786,10,10,0
787,12,12,0
788,21,21,-0
789,26,26,0
790,21,21,-0
791,30,30,-0
792,45,45,-0
793,56,56,-0
794,75,75,-0
795,83,83,-0
796,82,82,0
797,126,126,-0
798,119,119,-0
799,137,137,-0
800,131,131,-0
801,112,112,-0
802,82,82,-0
803,73,73,-0
804,43,43,0
805,55,55,-0
806,55,55,-0
807,53,53,-0
808,46,46,-0
809,43,43,-0
810,29,29,-0
811,22,22,0
812,26,26,0
813,13,13,0
814,17,17,-0
815,8,8,0
816,13,13,0
817,10,10,-0
818,17,17,0
819,19,19,0
820,9,9,0
821,9,9,0
822,9,9,0
823,3,3,-0
824,7,7,0
825,7,7,0
826,0,0,0
827,2,2,0
828,3,3,0
829,3,3,0
830,1,1,0
831,3,3,0
832,3,3,0
833,3,3,0
834,7,7,-0
835,3,3,0
836,5,5,0
837,11,11,0
838,5,5,0
839,5,5,0
840,6,6,0
841,6,6,0
842,4,4,0
843,4,4,0
844,8,8,0
845,14,14,0
846,12,12,0
847,16,16,0
848,10,10,0
849,16,16,0
850,18,18,0
851,15,15,0
852,23,23,0
853,17,17,0
854,33,33,-0
855,15,15,0
856,13,13,0
857,11,11,0
858,14,14,0
859,17,17,0
860,19,19,0
861,20,20,-0
862,12,12,0
863,21,21,0
864,7,7,0
865,19,19,0
866,10,10,0
867,13,13,-0
868,10,10,0
869,8,8,0
870,21,21,0
871,11,11,0
872,9,9,-0
873,14,14,0
874,14,14,0
875,15,15,-0
876,18,18,-0
877,16,16,0
878,12,12,-0
879,20,20,-0
880,8,8,-0
881,3,3,0
882,13,13,-0
883,4,4,0
884,1,1,0
885,10,10,-0
886,8,8,0
887,13,13,-0
888,10,10,0
889,21,21,0
890,18,18,-0
891,21,21,-0
892,34,34,-0
893,25,25,-0
894,34,34,0
895,33,33,0
896,40,40,-0
897,42,42,0
898,36,36,-0
899,72,72,-0
900,75,75,-0
901,76,76,-0
902,92,92,-0
903,71,71,0
904,112,112,-0
905,106,106,-0
906,101,101,0
907,170,170,-0
908,135,135,-0
909,106,106,-0
910,68,68,0
911,48,48,-0
912,48,48,0
913,26,26,0
914,33,33,0
915,29,29,-0
916,17,17,0
917,12,12,0
918,13,13,0
919,17,17,0
920,15,15,0
921,14,14,0
922,15,15,0
923,10,10,-0
924,9,9,-0
925,2,2,0
926,6,6,0
927,8,8,0
928,5,5,0
929,1,1,0
930,2,2,0
931,3,3,0
932,4,4,0
933,3,3,0
934,1,1,0
935,3,3,0
936,5,5,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,1,1,0
948,0,0,0
949,0,0,0
950,0,0,0
951,0,0,0
952,1,1,0
953,1,1,-0
954,0,0,0
955,0,0,0
956,0,0,0
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,1,1,-0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,0,0,0
970,0,0,0
971,0,0,0
972,0,0,0
973,0,0,0
974,0,0,0
975,0,0,0
976,0,0,0
977,0,0,0
978,1,1,-0
979,0,0,0
980,0,0,0
981,0,0,0
982,0,0,0
983,1,1,-0
984,1,1,0
985,0,0,0
986,0,0,0
987,1,1,0
988,0,0,0
989,0,0,0
990,0,0,0
991,0,0,0
992,0,0,0
993,0,0,0
994,0,0,0
995,0,0,0
996,0,0,0
997,0,0,0
998,0,0,0
999,0,0,0
1000,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1009,1,1,0
1010,1,1,0
1011,1,1,0
1012,2,2,0
1013,4,4,0
1014,1,1,0
1015,4,4,-0
1016,11,11,-0
1017,16,16,-0
1018,23,23,0
1019,12,12,0
1020,14,14,0
1021,18,18,-0
1022,8,8,0
1023,7,7,0
1024,10,10,0
1025,7,7,-0
1026,10,10,0
1027,5,5,0
1028,11,11,-0
1029,8,8,0
1030,18,18,0
1031,13,13,-0
1032,9,9,0
1033,22,22,-0
1034,10,10,0
1035,5,5,-0
1036,13,13,-0
1037,2,2,-0
1038,11,11,-0
1039,11,11,-0
1040,3,3,0
1041,7,7,-0
1042,7,7,-0
1043,4,4,-0
1044,5,5,-0
1045,6,6,-0
1046,7,7,-0
1047,7,7,-0
1048,4,4,0
1049,9,9,-0
1050,17,17,0
1051,8,8,0
1052,22,22,-0
1053,18,18,-0
1054,21,21,-0
1055,16,16,-0
1056,31,31,-0
1057,25,25,-0
1058,28,28,0
1059,26,26,-0
1060,18,18,-0
1061,27,27,-0
1062,11,11,-0
1063,38,38,-0
1064,29,29,-0
1065,21,21,0
1066,11,11,-0
1067,10,10,-0
1068,5,5,0
1069,6,6,-0
1070,2,2,0
1071,1,1,0
1072,2,2,0
1073,2,2,-0
1074,3,3,0
1075,5,5,0
1076,1,1,0
1077,4,4,0
1078,2,2,0
1079,4,4,0
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,1,1,0
1085,1,1,0
1086,1,1,0
1087,1,1,0
1088,1,1,0
1089,2,2,-0
1090,3,3,0
1091,4,4,0
1092,6,6,-0
1093,2,2,0
1094,2,2,0
1095,5,5,-0
1096,1,1,0
1097,1,1,0
1098,0,0,0
1099,0,0,0
1100,0,0,0
1101,0,0,0
1102,2,2,0
1103,0,0,0
1104,3,3,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,2,2,0
1109,2,2,0
1110,3,3,0
1111,3,3,-0
1112,3,3,0
1113,1,1,0
1114,2,2,0
1115,3,3,0
1116,6,6,0
1117,5,5,-0
1118,1,1,0
1119,4,5.572,1.572
1120,5,5,0
1121,8,8,0
1122,5,5,-0
1123,2,2,0
1124,3,3,0
1125,3,3,0
1126,1,1,0
1127,6,6,0
1128,4,4,0
1129,1,1,0
1130,2,2,-0
1131,3,3,0
1132,1,1,0
1133,8,8,0
1134,4,4,0
1135,6,6,0
1136,7,7,0
1137,5,5,0
1138,8,8,-0
1139,6,6,-0
1140,5,5,0
1141,6,6,0
1142,6,6,0
1143,13,13,-0
1144,2,2,0
1145,10,10,-0
1146,3,3,0
1147,12,12,0
1148,7,7,-0
1149,6,6,0
1150,5,5,0
1151,6,6,-0
1152,6,6,0
1153,6,6,0
1154,8,8,0
1155,6,6,-0
1156,9,9,-0
1157,12,12,0
1158,19,19,-0
1159,8,8,-0
1160,16,16,-0
1161,21,21,0
1162,6,6,0
1163,22,22,-0
1164,37,37,-0
1165,33,33,0
1166,18,18,-0
1167,83,83,-0
1168,116,116,-0
1169,32,32,0
1170,7,7,0
1171,9,24.675,15.675
1172,10,10,-0
1173,5,5,0
1174,8,8,-0
1175,7,7,0
1176,8,8,0
1177,11,11,-0
1178,6,6,0
1179,7,7,-0
1180,7,7,-0
1181,14,14,0
1182,7,7,0
1183,9,9,0
1184,13,13,-0
1185,16,16,-0
1186,7,7,0
1187,9,9,0
1188,2,2,0
1189,13,13,0
1190,8,8,-0
1191,3,3,0
1192,5,5,0
1193,4,4,0
1194,8,8,0
1195,2,2,0
1196,3,3,-0
1197,5,5,-0
1198,7,7,0
1199,3,3,-0
1200,5,5,-0
1201,6,6,0
1202,5,5,-0
1203,5,5,-0
1204,4,4,0
1205,0,0,0
1206,0,0,0
1207,0,0,0
1208,0,0,0
1209,0,0,0
1210,2,2,-0
1211,4,4,0
1212,4,4,0
1213,3,3,-0
1214,3,3,-0
1215,5,5,0
1216,6,6,0
1217,14,14,-0
1218,3,3,0
1219,7,7,-0
1220,11,11,-0
1221,2,2,0
1222,6,6,0
1223,8,8,-0
1224,25,25,0
1225,21,21,-0
1226,10,10,0
1227,28,28,-0
1228,39,39,-0
1229,20,20,-0
1230,24,24,0
1231,28,28,0
1232,26,26,-0
1233,8,8,-0
1234,9,9,0
1235,12,12,-0
1236,18,18,-0
1237,9,9,-0
1238,9,9,-0
1239,6,6,0
1240,6,6,0
1241,8,8,-0
1242,5,5,-0
1243,7,7,-0
1244,6,6,0
1245,5,5,-0
1246,3,3,-0
1247,1,1,0
1248,0,0,0
1249,1,1,0
1250,2,2,0
1251,3,3,0
1252,2,2,-0
1253,2,2,0
1254,2,2,0
1255,2,2,-0
1256,2,2,0
1257,4,4,-0
1258,0,0,0
1259,6,6,0
1260,3,3,0
1261,2,2,0
1262,6,6,0
1263,2,2,-0
1264,7,7,-0
1265,4,4,-0
1266,6,6,-0
1267,6,6,0
1268,2,2,0
1269,13,13,0
1270,10,10,-0
1271,5,5,0
1272,2,2,-0
1273,0,0,0
1274,1,1,0
1275,0,0,0
1276,14,14,-0
1277,6,6,0
1278,10,10,-0
1279,5,5,0
1280,12,12,-0
1281,9,9,-0
1282,5,5,0
1283,11,11,0
1284,2,2,0
1285,6,6,0
1286,7,7,-0
1287,6,6,-0
1288,5,5,0
1289,9,9,0
1290,5,5,-0
1291,8,8,-0
1292,3,3,-0
1293,4,4,0
1294,11,11,0
1295,5,5,0
1296,8,8,0
1297,4,4,-0
1298,3,3,-0
1299,1,1,-0
1300,2,2,0
1301,3,3,0
1302,4,4,-0
1303,1,1,0
1304,8,8,-0
1305,5,5,-0
1306,3,3,0
1307,2,2,0
1308,7,7,-0
1309,1,1,-0
1310,6,6,-0
1311,7,7,-0
1312,5,5,-0
1313,2,2,-0
1314,6,6,-0
1315,11,11,-0
1316,6,6,0
1317,3,3,-0
1318,11,11,0
1319,11,11,0
1320,5,5,0
1321,4,4,0
1322,9,9,-0
1323,23,23,-0
1324,28,28,-0
1325,26,26,-0
1326,7,7,0
1327,29,29,-0
1328,58,58,0
1329,26,26,-0
1330,38,38,-0
1331,35,35,-0
1332,37,37,-0
1333,20,20,-0
1334,29,29,-0
1335,25,25,-0
1336,23,23,-0
1337,9,9,0
1338,3,3,0
1339,6,6,0
1340,6,6,0
1341,3,3,0
1342,1,1,0
1343,3,3,0
1344,1,1,0
1345,1,1,0
1346,0,0,0
1347,2,2,-0
1348,1,1,0
1349,1,1,0
1350,0,0,0
1351,0,0,0
1352,1,1,0
1353,0,0,0
1354,3,3,0
1355,3,3,0
1356,1,1,0
1357,5,5,0
1358,2,2,0
1359,5,5,0
1360,5,5,0
1361,5,5,0
1362,9,9,-0
1363,17,17,-0
1364,19,19,-0
1365,25,25,-0
1366,45,45,-0
1367,34,34,0
1368,63,63,-0
1369,44,44,-0
1370,50,50,-0
1371,35,35,-0
1372,16,16,-0
1373,16,16,-0
1374,13,13,-0
1375,9,9,-0
1376,15,15,-0
1377,4,4,-0
1378,0,0,0
1379,1,6.218,5.218
1380,10,10,0
1381,11,11,-0
1382,29,29,-0
1383,35,35,-0
1384,30,30,-0
1385,20,20,-0
1386,21,21,-0
1387,12,12,-0
1388,9,9,0
1389,11,11,-0
1390,9,9,0
1391,5,5,0
1392,11,11,-0
1393,3,3,0
1394,5,5,0
1395,5,5,0
1396,4,4,0
1397,4,4,-0
1398,1,1,0
1399,0,0,0
1400,2,2,0
1401,3,3,0
1402,3,3,0
1403,5,5,-0
1404,2,2,0
1405,1,1,0
1406,2,2,0
1407,0,0,0
1408,0,0,0
1409,3,3,-0
1410,5,5,0
1411,5,5,0
1412,7,7,0
1413,5,5,0
1414,2,2,0
1415,2,2,0
1416,2,2,0
1417,0,0,0
1418,2,2,0
1419,1,1,0
1420,1,1,0
1421,2,2,0
1422,2,2,0
1423,3,3,0
1424,9,9,-0
1425,5,5,0
1426,5,5,-0
1427,4,4,0
1428,4,4,0
1429,1,1,0
1430,0,0,0
1431,0,24.675,24.675
1432,10,10,0
1433,9,9,0
1434,17,17,0
1435,16,16,-0
1436,11,11,-0
1437,12,12,-0
1438,19,19,-0
1439,15,15,-0
1440,12,12,0
1441,12,12,-0
1442,16,16,-0
1443,9,9,-0
1444,4,4,0
1445,9,9,0
1446,6,6,0
1447,8,8,0
1448,4,4,-0
1449,2,2,0
1450,7,7,0
1451,6,6,-0
1452,5,5,0
1453,8,8,-0
1454,1,1,0
1455,1,1,0
1456,4,4,0

=== Evaluation on training set ===

Time taken to test model on training data: 62.59 seconds

=== Summary ===

Correlation coefficient                  0.9994
Mean absolute error                      0.0988
Root mean squared error                  1.4925
Relative absolute error                  0.4297 %
Root relative squared error              3.4246 %
Total Number of Instances             1456     


=== Re-evaluation on test set ===

User supplied test set
Relation:     test-weka.filters.unsupervised.attribute.Remove-R1-4
Instances:     unknown (yet). Reading incrementally
Attributes:   21

=== Predictions on user test set ===

inst#,actual,predicted,error
1,0,29.779,29.779
2,0,7.488,7.488
